symbol,marketCap,day_0,day_1,day_2,day_3,day_4,day_5
360ONE,442745192448,2.34,2.34,3.49,4.35,5.01,5.54
ABB,1514297229312,1.89,1.89,2.84,3.57,4.24,4.82
APLAPOLLO,491233214464,1.92,1.92,2.78,3.46,4.01,4.46
AUBANK,730734919680,1.96,1.96,2.96,3.68,4.24,4.78
ADANIENSOL,1838683258880,2.47,2.47,3.81,4.84,5.75,6.57
ADANIENT,4069099831296,2.07,2.07,3.21,4.09,4.89,5.6
ADANIGREEN,2387417235456,2.52,2.52,3.93,4.99,5.96,6.87
ADANIPORTS,4180533575680,1.7,1.7,2.62,3.26,3.77,4.27
ADANIPOWER,4549837848576,2.67,2.67,4.13,5.22,6.18,7.08
ABCAPITAL,920957812736,2.22,2.22,3.26,4.03,4.68,5.22
ALKEM,626401017856,1.67,1.67,2.39,2.89,3.33,3.67
AMBER,267735252992,2.61,2.61,4.01,5.23,6.26,7.09
AMBUJACEM,1091704455168,1.7,1.7,2.61,3.27,3.81,4.25
ANGELONE,312959172608,2.58,2.58,4.15,5.28,6.23,7.08
APOLLOHOSP,1163146035200,1.38,1.38,2.02,2.55,3.01,3.41
ASHOKLEY,875498045440,2.1,2.1,3.2,4.02,4.73,5.34
ASIANPAINT,2550664790016,1.57,1.57,2.41,3.02,3.56,4.04
ASTRAL,410148208640,2.03,2.03,2.99,3.68,4.3,4.77
AUROPHARMA,822330064896,1.92,1.92,2.81,3.47,4.02,4.48
DMART,2645828567040,1.78,1.78,2.62,3.26,3.82,4.3
AXISBANK,3890834833408,1.43,1.43,2.18,2.76,3.28,3.72
BSE,1596858957824,2.56,2.56,4.1,5.23,6.2,7.06
BAJAJ-AUTO,2871192715264,1.51,1.51,2.29,2.8,3.21,3.6
BAJFINANCE,5484167299072,1.78,1.78,2.83,3.58,4.14,4.61
BAJAJFINSV,2783642386432,1.5,1.5,2.24,2.79,3.26,3.68
BAJAJHLDNG,1139645612032,2.14,2.14,3.1,3.8,4.34,4.86
BANDHANBNK,332401344512,2.25,2.25,3.44,4.42,5.25,5.94
BANKBARODA,1374548000768,1.76,1.76,2.69,3.33,3.86,4.31
BANKINDIA,625035706368,1.97,1.97,3.0,3.69,4.3,4.82
BDL,442111033344,2.54,2.54,3.86,4.9,5.75,6.47
BEL,2981293457408,1.8,1.8,2.7,3.32,3.85,4.29
BHARATFORG,909754892288,2.09,2.09,3.02,3.74,4.38,4.94
BHEL,1430257532928,2.32,2.32,3.53,4.45,5.21,5.89
BPCL,1257848963072,1.97,1.97,3.01,3.77,4.4,4.94
BHARTIARTL,11051147984896,1.43,1.43,2.12,2.66,3.05,3.42
BIOCON,674937307136,2.01,2.01,2.88,3.56,4.13,4.68
BLUESTARCO,324754145280,2.35,2.35,3.51,4.36,5.12,5.8
BOSCHLTD,1097753296896,1.87,1.87,2.8,3.55,4.21,4.79
BRITANNIA,1232522969088,1.56,1.56,2.3,2.79,3.23,3.59
CGPOWER,1429589590016,2.1,2.1,3.07,3.79,4.41,4.98
CANBK,1170839699456,1.94,1.94,2.97,3.69,4.34,4.9
CDSL,256401211392,2.04,2.04,3.22,4.08,4.78,5.39
CHOLAFIN,1263999647744,2.1,2.1,3.22,4.0,4.66,5.24
CIPLA,1114199425024,1.39,1.39,2.07,2.59,2.99,3.36
COALINDIA,2909732077568,1.59,1.59,2.29,2.84,3.3,3.63
COCHINSHIP,386123661312,2.69,2.69,4.12,5.19,6.07,6.81
COFORGE,653384876032,2.45,2.45,3.76,4.74,5.53,6.28
COLPAL,543644909568,1.56,1.56,2.3,2.89,3.38,3.83
CAMS,191605227520,2.03,2.03,3.02,3.74,4.32,4.85
CONCOR,349925376000,1.64,1.64,2.46,3.11,3.66,4.15
CROMPTON,178726338560,2.01,2.01,2.96,3.71,4.33,4.9
CUMMINSIND,1582257537024,1.89,1.89,2.71,3.33,3.89,4.33
DLF,1465013108736,1.87,1.87,2.81,3.5,4.09,4.62
DABUR,754816712704,1.64,1.64,2.41,2.99,3.49,3.98
DALBHARAT,328469086208,1.95,1.95,2.8,3.45,4.0,4.45
DELHIVERY,327900856320,2.23,2.23,3.28,4.03,4.68,5.19
DIVISLAB,1734306168832,1.69,1.69,2.46,3.11,3.65,4.07
DIXON,704197361664,2.34,2.34,3.5,4.37,5.12,5.86
DRREDDY,1060542939136,1.57,1.57,2.36,2.92,3.4,3.8
ETERNAL,2305368260608,2.31,2.31,3.59,4.46,5.22,5.88
EICHERMOT,1960324104192,1.59,1.59,2.44,3.06,3.56,4.01
EXIDEIND,345312493568,1.81,1.81,2.7,3.41,3.96,4.4
FORCEMOT,234972282880,3.64,3.64,5.5,6.95,8.18,9.29
NYKAA,771858563072,2.08,2.08,3.04,3.82,4.43,5.03
FORTIS,701658103808,1.92,1.92,2.84,3.55,4.15,4.66
GAIL,1083770339328,1.7,1.7,2.64,3.28,3.78,4.23
GVT&D,1224158478336,3.19,3.19,4.69,5.83,6.8,7.62
GMRAIRPORT,1036152274944,2.03,2.03,3.01,3.74,4.29,4.77
GLENMARK,616495906816,2.11,2.11,3.07,3.81,4.47,5.04
GODFRYPHLP,354780512256,3.38,3.38,5.07,6.33,7.37,8.28
GODREJCP,1022323654656,1.79,1.79,2.58,3.2,3.72,4.17
GODREJPROP,518259245056,2.34,2.34,3.57,4.52,5.34,6.08
GRASIM,2100708114432,1.48,1.48,2.2,2.72,3.17,3.53
HCLTECH,3364478779392,1.63,1.63,2.44,3.07,3.6,4.08
HDFCAMC,1107425624064,1.91,1.91,2.9,3.65,4.27,4.81
HDFCBANK,11521210974208,1.25,1.25,1.92,2.4,2.75,3.04
HDFCLIFE,1251082895360,1.63,1.63,2.41,3.0,3.47,3.86
HAVELLS,736775831552,1.63,1.63,2.44,3.01,3.49,3.9
HEROMOTOCO,975453093888,1.89,1.89,2.85,3.51,4.05,4.51
HINDALCO,2563302490112,1.75,1.75,2.68,3.42,4.05,4.57
HAL,2861353664512,1.84,1.84,2.78,3.48,4.09,4.64
HINDPETRO,816551886848,2.13,2.13,3.35,4.19,4.91,5.55
HINDUNILVR,4919339253760,1.53,1.53,2.2,2.78,3.25,3.67
HINDZINC,2641246814208,2.21,2.21,3.51,4.45,5.37,6.16
POWERINDIA,1564712894464,2.92,2.92,4.35,5.43,6.38,7.23
HYUNDAI,1520914530304,2.19,2.19,3.24,4.07,4.79,5.41
ICICIBANK,8793895731200,1.16,1.16,1.8,2.25,2.6,2.95
ICICIGI,871547142144,1.68,1.68,2.44,3.0,3.45,3.84
ICICIPRULI,699050033152,1.78,1.78,2.63,3.25,3.82,4.33
IDFCFIRSTB,616454946816,1.81,1.81,2.67,3.38,3.98,4.5
ITC,3548972056576,1.17,1.17,1.76,2.22,2.6,2.95
INDIANB,1111986143232,2.06,2.06,3.03,3.77,4.44,5.01
IEX,111384862720,2.27,2.27,3.46,4.39,5.19,5.91
IOC,1960451506176,1.68,1.68,2.58,3.22,3.76,4.23
IRFC,1263332491264,1.79,1.79,2.75,3.46,4.05,4.56
IREDA,350957273088,2.02,2.02,3.11,3.89,4.58,5.14
INDUSTOWER,1131749965824,2.01,2.01,2.96,3.65,4.29,4.83
INDUSINDBK,710958645248,1.95,1.95,2.85,3.58,4.15,4.64
NAUKRI,657906925568,2.24,2.24,3.23,3.93,4.46,4.94
INFY,5144967118848,1.62,1.62,2.51,3.2,3.77,4.25
INOXWIND,145655873536,2.62,2.62,3.84,4.76,5.53,6.24
INDIGO,1726804262912,1.82,1.82,2.94,3.78,4.44,4.97
JINDALSTEL,1224445263872,1.96,1.96,2.85,3.52,4.09,4.6
JSWENERGY,1078410149888,2.13,2.13,3.19,3.96,4.64,5.26
JSWSTEEL,3199182307328,1.65,1.65,2.39,2.92,3.33,3.65
JIOFIN,1569170522112,1.7,1.7,2.59,3.29,3.87,4.38
JUBLFOOD,283262746624,1.98,1.98,2.93,3.6,4.18,4.72
KEI,503002529792,2.27,2.27,3.32,4.17,4.91,5.52
KPITTECH,220299886592,2.37,2.37,3.58,4.48,5.2,5.87
KALYANKJIL,364660588544,2.49,2.49,3.65,4.59,5.38,6.09
KAYNES,212439531520,3.02,3.02,4.66,5.9,6.95,7.8
KFINTECH,148233191424,2.44,2.44,3.66,4.52,5.19,5.78
KOTAKBANK,3770207436800,1.4,1.4,2.15,2.69,3.15,3.5
LTF,678240583680,2.27,2.27,3.38,4.21,4.92,5.55
LICHSGFIN,294283706368,1.62,1.62,2.37,2.98,3.45,3.83
LTM,1287145783296,1.99,1.99,2.89,3.58,4.1,4.57
LT,5503910936576,1.42,1.42,2.21,2.78,3.24,3.65
LAURUSLABS,746585587712,2.1,2.1,3.12,3.95,4.71,5.34
LICI,5068853084160,1.42,1.42,2.15,2.68,3.11,3.47
LODHA,902819479552,2.34,2.34,3.53,4.49,5.42,6.21
LUPIN,1028644274176,1.58,1.58,2.19,2.65,3.02,3.34
M&M,3600245587968,1.73,1.73,2.62,3.3,3.87,4.37
MANAPPURAM,294528843776,2.3,2.3,3.47,4.32,4.96,5.57
MANKIND,949278212096,1.99,1.99,2.86,3.56,4.14,4.62
MARICO,1050844659712,1.44,1.44,2.06,2.54,2.94,3.27
MARUTI,4094150049792,1.5,1.5,2.27,2.83,3.29,3.7
MFSL,547934765056,1.91,1.91,2.8,3.54,4.17,4.71
MAXHEALTH,923316387840,2.04,2.04,2.87,3.54,4.12,4.64
MAZDOCK,986223738880,2.36,2.36,3.55,4.44,5.16,5.83
MOTILALOFS,521340583936,2.55,2.55,3.81,4.73,5.49,6.18
MPHASIS,455613874176,2.2,2.2,3.25,4.03,4.61,5.11
MCX,732669739008,2.57,2.57,3.97,4.98,5.88,6.59
MUTHOOTFIN,1309630398464,1.98,1.98,3.1,3.91,4.57,5.11
NBCC,281097011200,2.39,2.39,3.56,4.46,5.19,5.74
NHPC,726155526144,1.79,1.79,2.61,3.21,3.7,4.13
NMDC,837948080128,1.98,1.98,2.9,3.56,4.1,4.52
NTPC,3562555310080,1.43,1.43,2.05,2.48,2.85,3.15
NATIONALUM,797832839168,2.37,2.37,3.66,4.65,5.46,6.19
NESTLEIND,2697133293568,1.46,1.46,2.1,2.61,3.06,3.47
NAM-INDIA,695882547200,2.56,2.56,3.84,4.82,5.56,6.22
NUVAMA,286754439168,2.57,2.57,3.94,4.94,5.78,6.48
OBEROIRLTY,608924663808,1.96,1.96,2.87,3.52,4.06,4.55
ONGC,3334402998272,1.57,1.57,2.29,2.84,3.34,3.75
OIL,787440795648,2.11,2.11,3.11,3.88,4.55,5.09
PAYTM,685568950272,2.38,2.38,3.6,4.57,5.39,6.1
OFSS,900636934144,2.06,2.06,3.19,4.02,4.78,5.43
POLICYBZR,761585926144,2.53,2.53,3.63,4.42,5.08,5.65
